GT inlier,Total time,Recall,Precision,F1-score
0001_1001_0.1,0.0161,0.990123,0.993804,0.991958
0002_1002_0.1,0.6633,0.194222,0.721879,0.23455
0003_1003_0.1,1.4088,0.109583,0.349191,0.120093
0004_1004_0.1,0.0825,0.987727,0.996793,0.992236
0005_1005_0.1,0.354,0.900909,0.984615,0.913316
0006_1006_0.1,0.0315,1,0.998473,0.999234
0007_1007_0.1,0.0262,0.992754,1,0.996364
0008_1008_0.1,0.0146,0.983598,0.997323,0.990411
0009_1009_0.1,0.0155,0.964977,0.998571,0.981485
0010_1010_0.1,0.0171,0.939256,1,0.968676
0011_1011_0.1,0.0591,0.975758,0.986797,0.981223
0012_1012_0.1,0.0175,0.936923,0.918846,0.927425
0013_1013_0.1,0.073,0.85119,0.993055,0.916622
0014_1014_0.1,0.1509,0.549123,1,0.696558
0016_1016_0.1,0.2298,0.674138,0.901327,0.768701
0017_1017_0.1,0.1718,0.984375,1,0.992126
0018_1018_0.1,0.1316,0.958333,0.978848,0.968422
0019_1019_0.1,0.09,0.971795,0.989608,0.980552
0020_1020_0.1,0.0811,0.973563,0.996498,0.984883
0021_1021_0.1,0.011,0.949606,0.989431,0.969077
0022_1022_0.1,0.0099,0.979693,0.991085,0.985356
0023_1023_0.1,0.0116,0.96787,0.990804,0.979188
0024_1024_0.1,0.0151,0.950955,0.999328,0.974532
0025_1025_0.1,0.0155,0.874857,1,0.933234
0026_1026_0.1,0.2832,0.152,0.506027,0.231116
0027_1027_0.1,0.486,0.0802817,0.243615,0.120491
0028_1028_0.1,0.6035,0.137895,0.6044,0.221213
0029_1029_0.1,0.6353,0.197541,0.767156,0.312034
0030_1030_0.1,0.3877,0.282119,0.855974,0.414606
0031_1031_0.1,0.0112,1,1,1
0032_1032_0.1,0.0081,0.992188,1,0.996078
0033_1033_0.1,0.0053,1,1,1
0034_1034_0.1,0.0057,0.977451,0.9995,0.988351
0035_1035_0.1,0.3808,0.518478,0.767478,0.557708
0036_1036_0.1,0.016,0.990226,0.995472,0.992839
0037_1037_0.1,0.0542,0.993377,0.999338,0.996348
0038_1038_0.1,0.6277,0.718227,0.852075,0.756127
0039_1039_0.1,0.045,0.978802,0.998124,0.988367
0040_1040_0.1,0.1012,0.984,0.960936,0.972321
0.0999498,0.188421,0.786254,0.905804,0.815226
,,,,
0001_1001_0.2,0.0057,0.990984,0.998349,0.994652
0002_1002_0.2,0.0606,0.702428,0.902905,0.710173
0003_1003_0.2,0.0766,0.217702,0.642913,0.236542
0004_1004_0.2,0.0032,0.987273,0.995876,0.991553
0005_1005_0.2,0.0539,0.799091,0.886667,0.810275
0006_1006_0.2,0.0045,0.990785,0.999314,0.99503
0007_1007_0.2,0.0038,0.983923,0.999673,0.991735
0008_1008_0.2,0.0041,0.980471,0.999283,0.989786
0009_1009_0.2,0.0038,0.970552,1,0.985056
0010_1010_0.2,0.0046,0.944587,1,0.971504
0011_1011_0.2,0.0026,0.973874,0.998157,0.985863
0012_1012_0.2,0.0056,0.938014,0.961736,0.94972
0013_1013_0.2,0.01,0.88927,0.997623,0.940226
0014_1014_0.2,0.0332,0.649123,1,0.782335
